combo_id,histogram_matching,bilateral_filter,edge_detection_method,superpixel_algorithm,n_superpixels,roi_enabled,matches_count,inliers_count,inlier_ratio_pct,stop_layer,servoing_error_norm,total_time_sec
config_001,True,True,none,none,50,True,309,228,73.79,6,26.806713,0.9147
config_002,True,True,none,none,50,False,1154,668,57.89,5,28.254738,0.7732
config_003,True,True,none,none,100,True,309,228,73.79,6,26.806713,0.5082
config_004,True,True,none,none,100,False,1154,668,57.89,5,28.254738,0.5117
config_005,True,True,none,none,200,True,309,228,73.79,6,26.806713,0.5097
config_006,True,True,none,none,200,False,1154,668,57.89,5,28.254738,0.5373
config_007,True,True,none,boruvka,50,True,165,69,41.82,7,33.264332,1.1473
config_008,True,True,none,boruvka,50,False,603,135,22.39,7,24.524134,1.1535
config_009,True,True,none,boruvka,100,True,296,129,43.58,8,10.080138,1.2297
config_010,True,True,none,boruvka,100,False,663,181,27.3,8,30.406248,1.1133
config_011,True,True,none,boruvka,200,True,523,253,48.37,8,21.223312,1.095
config_012,True,True,none,boruvka,200,False,774,208,26.87,7,30.971613,1.1193
config_013,True,True,canny,none,50,True,309,228,73.79,6,26.806713,0.5
config_014,True,True,canny,none,50,False,1154,668,57.89,5,28.254738,0.5154
config_015,True,True,canny,none,100,True,309,228,73.79,6,26.806713,0.5178
config_016,True,True,canny,none,100,False,1154,668,57.89,5,28.254738,0.5062
config_017,True,True,canny,none,200,True,309,228,73.79,6,26.806713,0.4798
config_018,True,True,canny,none,200,False,1154,668,57.89,5,28.254738,0.4994
config_019,True,True,canny,boruvka,50,True,168,77,45.83,8,40.301041,1.1126
config_020,True,True,canny,boruvka,50,False,663,186,28.05,8,29.080637,1.1355
config_021,True,True,canny,boruvka,100,True,277,130,46.93,7,61.245712,1.1208
config_022,True,True,canny,boruvka,100,False,661,177,26.78,8,30.739546,1.142
config_023,True,True,canny,boruvka,200,True,463,184,39.74,8,33.161217,1.0914
config_024,True,True,canny,boruvka,200,False,738,209,28.32,8,36.737225,1.103
config_025,True,True,octhed,none,50,True,309,228,73.79,6,26.806713,0.9473
config_026,True,True,octhed,none,50,False,1154,668,57.89,5,28.254738,0.8577
config_027,True,True,octhed,none,100,True,309,228,73.79,6,26.806713,0.853
config_028,True,True,octhed,none,100,False,1154,668,57.89,5,28.254738,0.8586
config_029,True,True,octhed,none,200,True,309,228,73.79,6,26.806713,0.8436
config_030,True,True,octhed,none,200,False,1154,668,57.89,5,28.254738,0.8548
config_031,True,True,octhed,boruvka,50,True,169,63,37.28,8,58.345242,1.4564
config_032,True,True,octhed,boruvka,50,False,387,96,24.81,8,34.57708,1.4873
config_033,True,True,octhed,boruvka,100,True,317,105,33.12,7,35.038162,1.4659
config_034,True,True,octhed,boruvka,100,False,591,142,24.03,8,32.474648,1.5011
config_035,True,True,octhed,boruvka,200,True,378,148,39.15,8,35.149059,1.4824
config_036,True,True,octhed,boruvka,200,False,714,225,31.51,8,30.404995,1.4981
config_037,True,False,none,none,50,True,487,329,67.56,7,27.629803,0.4351
config_038,True,False,none,none,50,False,976,469,48.05,5,29.824677,0.4351
