combo_id,histogram_matching,bilateral_filter,edge_detection_method,superpixel_algorithm,roi_enabled,n_superpixels,compactness,matches_count,inliers_count,inlier_ratio_pct,stop_layer,servoing_error_norm,superpixel_time_sec,total_time_sec
config_001,False,True,octhed,boruvka,False,10,1.0,23,8,34.78,3,347.571533,0.7122,1.4456
config_002,False,True,octhed,boruvka,False,10,5.0,23,8,34.78,3,347.571533,0.7051,1.1133
config_003,False,True,octhed,boruvka,False,10,10.0,23,8,34.78,3,347.571533,0.6742,1.0933
config_004,False,True,octhed,boruvka,False,10,20.0,23,8,34.78,3,347.571533,0.6753,1.0737
config_005,False,True,octhed,boruvka,False,10,50.0,23,8,34.78,3,347.571533,0.6776,1.0613
config_006,False,True,octhed,boruvka,False,25,1.0,64,18,28.12,3,43.875629,0.7173,1.1028
config_007,False,True,octhed,boruvka,False,25,5.0,64,18,28.12,3,43.875629,0.6874,1.0745
config_008,False,True,octhed,boruvka,False,25,10.0,64,18,28.12,3,43.875629,0.6419,1.0543
config_009,False,True,octhed,boruvka,False,25,20.0,64,18,28.12,3,43.875629,0.6835,1.1046
config_010,False,True,octhed,boruvka,False,25,50.0,64,18,28.12,3,43.875629,0.6705,1.0682
config_011,False,True,octhed,boruvka,False,50,1.0,75,20,26.67,3,28.557343,0.646,1.0208
config_012,False,True,octhed,boruvka,False,50,5.0,75,20,26.67,3,28.557343,0.6605,1.0362
config_013,False,True,octhed,boruvka,False,50,10.0,75,20,26.67,3,28.557343,0.6583,1.0311
config_014,False,True,octhed,boruvka,False,50,20.0,75,20,26.67,3,28.557343,0.6378,1.0534
config_015,False,True,octhed,boruvka,False,50,50.0,75,20,26.67,3,28.557343,0.6449,1.0395
config_016,False,True,octhed,boruvka,False,100,1.0,106,14,13.21,3,30.351837,0.6479,1.0334
config_017,False,True,octhed,boruvka,False,100,5.0,106,14,13.21,3,30.351837,0.6428,1.0426
config_018,False,True,octhed,boruvka,False,100,10.0,106,14,13.21,3,30.351837,0.6449,1.0119
config_019,False,True,octhed,boruvka,False,100,20.0,106,14,13.21,3,30.351837,0.6461,1.0488
config_020,False,True,octhed,boruvka,False,100,50.0,106,14,13.21,3,30.351837,0.6606,1.0584
config_021,False,True,octhed,boruvka,False,200,1.0,170,38,22.35,6,34.254601,0.6505,1.0283
config_022,False,True,octhed,boruvka,False,200,5.0,170,38,22.35,6,34.254601,0.6654,1.0465
config_023,False,True,octhed,boruvka,False,200,10.0,170,38,22.35,6,34.254601,0.6394,1.014
config_024,False,True,octhed,boruvka,False,200,20.0,170,38,22.35,6,34.254601,0.6382,1.014
config_025,False,True,octhed,boruvka,False,200,50.0,170,38,22.35,6,34.254601,0.6474,1.0186
config_026,False,True,octhed,boruvka,False,300,1.0,173,35,20.23,6,30.145269,0.6494,1.022
config_027,False,True,octhed,boruvka,False,300,5.0,173,35,20.23,6,30.145269,0.6408,1.0092
config_028,False,True,octhed,boruvka,False,300,10.0,173,35,20.23,6,30.145269,0.6275,1.0026
config_029,False,True,octhed,boruvka,False,300,20.0,173,35,20.23,6,30.145269,0.6389,1.0168
config_030,False,True,octhed,boruvka,False,300,50.0,173,35,20.23,6,30.145269,0.6428,1.0203
